,OCC_TITLE,OCC_GROUP
180,Optometrists,detailed
181,Pharmacists,detailed
182,Family and General Practitioners,detailed
183,"Internists, General",detailed
184,Obstetricians and Gynecologists,detailed
185,Surgeons,detailed
186,"Physicians and Surgeons, All Other",detailed
187,Physician Assistants,detailed
188,Occupational Therapists,detailed
189,Physical Therapists,detailed
190,Respiratory Therapists,detailed
191,Speech-Language Pathologists,detailed
192,Veterinarians,detailed
193,Registered Nurses,detailed
194,Nurse Practitioners,detailed
195,"Health Diagnosing and Treating Practitioners, All Other",detailed
196,Medical and Clinical Laboratory Technologists,detailed
197,Medical and Clinical Laboratory Technicians,detailed
198,Dental Hygienists,detailed
199,Cardiovascular Technologists and Technicians,detailed
200,Diagnostic Medical Sonographers,detailed
201,Nuclear Medicine Technologists,detailed
202,Radiologic Technologists,detailed
203,Magnetic Resonance Imaging Technologists,detailed
204,Emergency Medical Technicians and Paramedics,detailed
205,Pharmacy Technicians,detailed
206,Psychiatric Technicians,detailed
207,Surgical Technologists,detailed
208,Veterinary Technologists and Technicians,detailed
209,Licensed Practical and Licensed Vocational Nurses,detailed
210,Medical Records and Health Information Technicians,detailed
211,"Opticians, Dispensing",detailed
212,Occupational Health and Safety Specialists,detailed
213,Occupational Health and Safety Technicians,detailed
214,"Healthcare Practitioners and Technical Workers, All Other",detailed
216,Home Health Aides,detailed
217,Psychiatric Aides,detailed
218,Nursing Assistants,detailed
219,Physical Therapist Assistants,detailed
220,Massage Therapists,detailed
221,Dental Assistants,detailed
222,Medical Assistants,detailed
223,Medical Equipment Preparers,detailed
224,Medical Transcriptionists,detailed
225,Pharmacy Aides,detailed
226,Veterinary Assistants and Laboratory Animal Caretakers,detailed
227,Phlebotomists,detailed
228,"Healthcare Support Workers, All Other",detailed
230,First-Line Supervisors of Police and Detectives,detailed
231,First-Line Supervisors of Fire Fighting and Prevention Workers,detailed
232,"First-Line Supervisors of Protective Service Workers, All Other",detailed
233,Firefighters,detailed
234,Detectives and Criminal Investigators,detailed
235,Police and Sheriff's Patrol Officers,detailed
236,Security Guards,detailed
237,Crossing Guards,detailed
238,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",detailed
239,Transportation Security Screeners,detailed
240,"Protective Service Workers, All Other",detailed
242,Chefs and Head Cooks,detailed
243,First-Line Supervisors of Food Preparation and Serving Workers,detailed
244,"Cooks, Fast Food",detailed
245,"Cooks, Institution and Cafeteria",detailed
246,"Cooks, Restaurant",detailed
247,"Cooks, Short Order",detailed
248,"Cooks, All Other",detailed
249,Food Preparation Workers,detailed
250,Bartenders,detailed
251,"Combined Food Preparation and Serving Workers, Including Fast Food",detailed
252,"Counter Attendants, Cafeteria, Food Concession, and Coffee Shop",detailed
253,Waiters and Waitresses,detailed
254,"Food Servers, Nonrestaurant",detailed
255,Dining Room and Cafeteria Attendants and Bartender Helpers,detailed
256,Dishwashers,detailed
