,OCC_TITLE,OCC_GROUP
3827,"Health Specialties Teachers, Postsecondary",detailed
3835,Graduate Teaching Assistants,detailed
3849,Archivists,detailed
3948,Gaming Supervisors,detailed
4021,"Graders and Sorters, Agricultural Products",detailed
4022,"Agricultural Workers, All Other",detailed
4066,Musical Instrument Repairers and Tuners,detailed
4110,Adhesive Bonding Machine Operators and Tenders,detailed
4198,Foresters,detailed
4225,"Economics Teachers, Postsecondary",detailed
4389,Log Graders and Scalers,detailed
4548,Landscape Architects,detailed
4567,Food Scientists and Technologists,detailed
4572,Agricultural and Food Science Technicians,detailed
4870,"Food Processing Workers, All Other",detailed
4898,Ophthalmic Laboratory Technicians,detailed
4903,Cooling and Freezing Equipment Operators and Tenders,detailed
5089,Gaming Surveillance Officers and Gaming Investigators,detailed
5131,Gaming Change Persons and Booth Cashiers,detailed
5203,Septic Tank Servicers and Sewer Pipe Cleaners,detailed
5204,"Derrick Operators, Oil and Gas",detailed
5208,"Rock Splitters, Quarry",detailed
5220,Automotive Glass Installers and Repairers,detailed
5263,Upholsterers,detailed
5404,Animal Trainers,detailed
5698,Agricultural Equipment Operators,detailed
5820,Credit Counselors,detailed
5863,Biochemists and Biophysicists,detailed
5864,Microbiologists,detailed
5868,Epidemiologists,detailed
5873,Economists,detailed
5899,Judicial Law Clerks,detailed
5900,"Administrative Law Judges, Adjudicators, and Hearing Officers",detailed
5912,"Anthropology and Archeology Teachers, Postsecondary",detailed
5914,"Political Science Teachers, Postsecondary",detailed
5916,"Sociology Teachers, Postsecondary",detailed
5935,"Career/Technical Education Teachers, Middle School",detailed
5942,"Special Education Teachers, All Other",detailed
5950,Farm and Home Management Advisors,detailed
5956,"Fine Artists, Including Painters, Sculptors, and Illustrators",detailed
5962,Actors,detailed
6009,Dietetic Technicians,detailed
6162,Proofreaders and Copy Markers,detailed
6192,Elevator Installers and Repairers,detailed
6193,Fence Erectors,detailed
6217,Recreational Vehicle Service Technicians,detailed
6286,Tire Builders,detailed
6305,"Transportation Attendants, Except Flight Attendants",detailed
6652,Travel Guides,detailed
7028,Funeral Service Managers,detailed
7038,"Agents and Business Managers of Artists, Performers, and Athletes",detailed
7119,Soil and Plant Scientists,detailed
7136,Survey Researchers,detailed
7141,Political Scientists,detailed
7146,Social Science Research Assistants,detailed
7168,"Religious Workers, All Other",detailed
7173,"Arbitrators, Mediators, and Conciliators",detailed
7185,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",detailed
7189,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",detailed
7197,"Social Work Teachers, Postsecondary",detailed
7224,Museum Technicians and Conservators,detailed
7227,Audio-Visual and Multimedia Collections Specialists,detailed
7233,Craft Artists,detailed
7241,Set and Exhibit Designers,detailed
7242,"Designers, All Other",detailed
7245,Athletes and Sports Competitors,detailed
7248,Music Directors and Composers,detailed
7249,Musicians and Singers,detailed
7271,"Dentists, All Other Specialists",detailed
7284,Podiatrists,detailed
7291,Exercise Physiologists,detailed
7292,"Therapists, All Other",detailed
7319,Hearing Aid Specialists,detailed
7352,Fish and Game Wardens,detailed
7353,Parking Enforcement Workers,detailed
7385,"Building Cleaning Workers, All Other",detailed
7396,Motion Picture Projectionists,detailed
7401,Embalmers,detailed
7440,Telephone Operators,detailed
7444,Gaming Cage Workers,detailed
7485,Desktop Publishers,detailed
7491,Statistical Assistants,detailed
7504,Stonemasons,detailed
7506,Carpet Installers,detailed
7507,Floor Sanders and Finishers,detailed
7514,Tapers,detailed
7520,Paperhangers,detailed
7523,Plasterers and Stucco Masons,detailed
7524,Reinforcing Iron and Rebar Workers,detailed
7528,Solar Photovoltaic Installers,detailed
7540,Rail-Track Laying and Maintenance Equipment Operators,detailed
7556,"Electronic Equipment Installers and Repairers, Motor Vehicles",detailed
7566,Rail Car Repairers,detailed
7570,Bicycle Repairers,detailed
7582,Camera and Photographic Equipment Repairers,detailed
7584,Watch Repairers,detailed
7624,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",detailed
7636,"Textile Cutting Machine Setters, Operators, and Tenders",detailed
7638,"Textile, Apparel, and Furnishings Workers, All Other",detailed
7640,Furniture Finishers,detailed
7646,Chemical Plant and System Operators,detailed
7667,Semiconductor Processors,detailed
7670,Etchers and Engravers,detailed
7690,Railroad Conductors and Yardmasters,detailed
7693,Traffic Technicians,detailed
7705,"Pump Operators, Except Wellhead Pumpers",detailed
7707,"Material Moving Workers, All Other",detailed
8297,Astronomers,detailed
8736,"Farmers, Ranchers, and Other Agricultural Managers",detailed
9120,Nuclear Technicians,detailed
9141,"Directors, Religious Activities and Education",detailed
9162,"Geography Teachers, Postsecondary",detailed
9166,"Social Sciences Teachers, Postsecondary, All Other",detailed
9170,"Library Science Teachers, Postsecondary",detailed
9172,"Law Teachers, Postsecondary",detailed
9211,Fashion Designers,detailed
9221,Dancers,detailed
9261,Nurse Midwives,detailed
9289,Genetic Counselors,detailed
9314,Forest Fire Inspectors and Prevention Specialists,detailed
9387,Models,detailed
9463,Terrazzo Workers and Finishers,detailed
9532,"Fabric Menders, Except Garment",detailed
9566,"Model Makers, Metal and Plastic",detailed
9584,Shoe and Leather Workers and Repairers,detailed
9585,"Sewers, Hand",detailed
9587,Textile Bleaching and Dyeing Machine Operators and Tenders,detailed
9589,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders",detailed
9591,Fabric and Apparel Patternmakers,detailed
9694,Farm Labor Contractors,detailed
10080,Wind Turbine Service Technicians,detailed
10151,Wellhead Pumpers,detailed
10734,Agricultural Engineers,detailed
10960,Gaming Dealers,detailed
11454,Mathematicians,detailed
11513,Sociologists,detailed
11557,"Architecture Teachers, Postsecondary",detailed
11559,"Agricultural Sciences Teachers, Postsecondary",detailed
11563,"Environmental Science Teachers, Postsecondary",detailed
11587,"Home Economics Teachers, Postsecondary",detailed
11621,"Artists and Related Workers, All Other",detailed
11636,Choreographers,detailed
11639,"Entertainers and Performers, Sports and Related Workers, All Other",detailed
11660,Oral and Maxillofacial Surgeons,detailed
11791,"Gaming Service Workers, All Other",detailed
11795,Costume Attendants,detailed
11801,Barbers,detailed
11803,"Makeup Artists, Theatrical and Performance",detailed
11805,Shampooers,detailed
11842,"Communications Equipment Operators, All Other",detailed
11902,Forest and Conservation Workers,detailed
11957,"Electrical and Electronics Installers and Repairers, Transportation Equipment",detailed
12045,Shoe Machine Operators and Tenders,detailed
12051,"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders",detailed
12114,Subway and Streetcar Operators,detailed
12115,"Rail Transportation Workers, All Other",detailed
14730,Gaming Managers,detailed
15071,Slot Supervisors,detailed
15521,Historians,detailed
16528,Marine Engineers and Naval Architects,detailed
16927,Fishers and Related Fishing Workers,detailed
22771,Geographers,detailed
27276,"Mathematical Science Occupations, All Other",detailed
27336,Industrial-Organizational Psychologists,detailed
27477,Radio Operators,detailed
27571,Transit and Railroad Police,detailed
27810,Signal and Track Switch Repairers,detailed
27893,Locomotive Engineers,detailed
29511,Motorboat Operators,detailed
32024,Manufactured Building and Mobile Home Installers,detailed
39040,Mathematical Technicians,detailed
43574,Animal Scientists,detailed
48850,"Forestry and Conservation Science Teachers, Postsecondary",detailed
49324,"Model Makers, Wood",detailed
49380,Bridge and Lock Tenders,detailed
49388,Hoist and Winch Operators,detailed
53301,Dredge Operators,detailed
54914,Gas Compressor and Gas Pumping Station Operators,detailed
56446,Fallers,detailed
61329,"Mining Machine Operators, All Other",detailed
73229,"Patternmakers, Wood",detailed
78405,Timing Device Assemblers and Adjusters,detailed
102939,Nuclear Power Reactor Operators,detailed
103502,"Refractory Materials Repairers, Except Brickmasons",detailed
112108,"Logging Workers, All Other",detailed
