,PRIM_STATE,AREA,AREA_NAME,OCC_CODE,OCC_TITLE,OCC_GROUP,A_MEAN
748,AL,11500,"Anniston-Oxford-Jacksonville, AL",29-1051,Pharmacists,detailed,"131,540"
749,AL,11500,"Anniston-Oxford-Jacksonville, AL",29-1069,"Physicians and Surgeons, All Other",detailed,"243,900"
750,AL,11500,"Anniston-Oxford-Jacksonville, AL",29-1123,Physical Therapists,detailed,"93,200"
751,AL,11500,"Anniston-Oxford-Jacksonville, AL",29-1126,Respiratory Therapists,detailed,"49,090"
752,AL,11500,"Anniston-Oxford-Jacksonville, AL",29-1141,Registered Nurses,detailed,"56,880"
753,AL,11500,"Anniston-Oxford-Jacksonville, AL",29-2011,Medical and Clinical Laboratory Technologists,detailed,"44,740"
754,AL,11500,"Anniston-Oxford-Jacksonville, AL",29-2012,Medical and Clinical Laboratory Technicians,detailed,"30,160"
755,AL,11500,"Anniston-Oxford-Jacksonville, AL",29-2021,Dental Hygienists,detailed,"51,020"
756,AL,11500,"Anniston-Oxford-Jacksonville, AL",29-2034,Radiologic Technologists,detailed,"43,400"
757,AL,11500,"Anniston-Oxford-Jacksonville, AL",29-2052,Pharmacy Technicians,detailed,"26,680"
758,AL,11500,"Anniston-Oxford-Jacksonville, AL",29-2055,Surgical Technologists,detailed,"30,550"
759,AL,11500,"Anniston-Oxford-Jacksonville, AL",29-2056,Veterinary Technologists and Technicians,detailed,"29,350"
760,AL,11500,"Anniston-Oxford-Jacksonville, AL",29-2061,Licensed Practical and Licensed Vocational Nurses,detailed,"36,280"
761,AL,11500,"Anniston-Oxford-Jacksonville, AL",29-2071,Medical Records and Health Information Technicians,detailed,"26,370"
762,AL,11500,"Anniston-Oxford-Jacksonville, AL",29-2099,"Health Technologists and Technicians, All Other",detailed,"50,480"
763,AL,11500,"Anniston-Oxford-Jacksonville, AL",29-9099,"Healthcare Practitioners and Technical Workers, All Other",detailed,"34,270"
764,AL,11500,"Anniston-Oxford-Jacksonville, AL",31-0000,Healthcare Support Occupations,major,"25,010"
765,AL,11500,"Anniston-Oxford-Jacksonville, AL",31-1014,Nursing Assistants,detailed,"23,140"
766,AL,11500,"Anniston-Oxford-Jacksonville, AL",31-2021,Physical Therapist Assistants,detailed,"56,630"
767,AL,11500,"Anniston-Oxford-Jacksonville, AL",31-9091,Dental Assistants,detailed,"34,940"
768,AL,11500,"Anniston-Oxford-Jacksonville, AL",31-9092,Medical Assistants,detailed,"25,190"
769,AL,11500,"Anniston-Oxford-Jacksonville, AL",31-9093,Medical Equipment Preparers,detailed,"22,360"
770,AL,11500,"Anniston-Oxford-Jacksonville, AL",33-0000,Protective Service Occupations,major,"38,130"
771,AL,11500,"Anniston-Oxford-Jacksonville, AL",33-1012,First-Line Supervisors of Police and Detectives,detailed,"56,310"
772,AL,11500,"Anniston-Oxford-Jacksonville, AL",33-1021,First-Line Supervisors of Fire Fighting and Prevention Workers,detailed,"60,810"
773,AL,11500,"Anniston-Oxford-Jacksonville, AL",33-1099,"First-Line Supervisors of Protective Service Workers, All Other",detailed,"44,250"
774,AL,11500,"Anniston-Oxford-Jacksonville, AL",33-2011,Firefighters,detailed,"39,410"
775,AL,11500,"Anniston-Oxford-Jacksonville, AL",33-3012,Correctional Officers and Jailers,detailed,"26,370"
776,AL,11500,"Anniston-Oxford-Jacksonville, AL",33-3021,Detectives and Criminal Investigators,detailed,"54,750"
777,AL,11500,"Anniston-Oxford-Jacksonville, AL",33-3051,Police and Sheriff's Patrol Officers,detailed,"39,720"
778,AL,11500,"Anniston-Oxford-Jacksonville, AL",33-9032,Security Guards,detailed,"31,930"
779,AL,11500,"Anniston-Oxford-Jacksonville, AL",35-0000,Food Preparation and Serving Related Occupations,major,"19,760"
780,AL,11500,"Anniston-Oxford-Jacksonville, AL",35-1012,First-Line Supervisors of Food Preparation and Serving Workers,detailed,"29,380"
781,AL,11500,"Anniston-Oxford-Jacksonville, AL",35-2011,"Cooks, Fast Food",detailed,"18,120"
782,AL,11500,"Anniston-Oxford-Jacksonville, AL",35-2012,"Cooks, Institution and Cafeteria",detailed,"20,980"
783,AL,11500,"Anniston-Oxford-Jacksonville, AL",35-2014,"Cooks, Restaurant",detailed,"19,600"
784,AL,11500,"Anniston-Oxford-Jacksonville, AL",35-2021,Food Preparation Workers,detailed,"21,570"
785,AL,11500,"Anniston-Oxford-Jacksonville, AL",35-3011,Bartenders,detailed,"21,580"
786,AL,11500,"Anniston-Oxford-Jacksonville, AL",35-3021,"Combined Food Preparation and Serving Workers, Including Fast Food",detailed,"17,710"
787,AL,11500,"Anniston-Oxford-Jacksonville, AL",35-3022,"Counter Attendants, Cafeteria, Food Concession, and Coffee Shop",detailed,"18,950"
788,AL,11500,"Anniston-Oxford-Jacksonville, AL",35-3031,Waiters and Waitresses,detailed,"18,610"
789,AL,11500,"Anniston-Oxford-Jacksonville, AL",35-9011,Dining Room and Cafeteria Attendants and Bartender Helpers,detailed,"17,840"
790,AL,11500,"Anniston-Oxford-Jacksonville, AL",35-9021,Dishwashers,detailed,"17,200"
791,AL,11500,"Anniston-Oxford-Jacksonville, AL",35-9031,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",detailed,"17,420"
792,AL,11500,"Anniston-Oxford-Jacksonville, AL",37-0000,Building and Grounds Cleaning and Maintenance Occupations,major,"22,480"
793,AL,11500,"Anniston-Oxford-Jacksonville, AL",37-1011,First-Line Supervisors of Housekeeping and Janitorial Workers,detailed,"34,720"
794,AL,11500,"Anniston-Oxford-Jacksonville, AL",37-2011,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",detailed,"21,230"
795,AL,11500,"Anniston-Oxford-Jacksonville, AL",37-2012,Maids and Housekeeping Cleaners,detailed,"19,670"
796,AL,11500,"Anniston-Oxford-Jacksonville, AL",37-3011,Landscaping and Groundskeeping Workers,detailed,"22,030"
797,AL,11500,"Anniston-Oxford-Jacksonville, AL",39-0000,Personal Care and Service Occupations,major,"22,290"
798,AL,11500,"Anniston-Oxford-Jacksonville, AL",39-1021,First-Line Supervisors of Personal Service Workers,detailed,"36,480"
799,AL,11500,"Anniston-Oxford-Jacksonville, AL",39-2021,Nonfarm Animal Caretakers,detailed,"19,490"
800,AL,11500,"Anniston-Oxford-Jacksonville, AL",39-5012,"Hairdressers, Hairstylists, and Cosmetologists",detailed,"21,390"
801,AL,11500,"Anniston-Oxford-Jacksonville, AL",39-5094,Skincare Specialists,detailed,"37,970"
802,AL,11500,"Anniston-Oxford-Jacksonville, AL",39-9011,Childcare Workers,detailed,"17,850"
803,AL,11500,"Anniston-Oxford-Jacksonville, AL",39-9021,Personal Care Aides,detailed,"17,040"
804,AL,11500,"Anniston-Oxford-Jacksonville, AL",39-9041,Residential Advisors,detailed,"21,080"
805,AL,11500,"Anniston-Oxford-Jacksonville, AL",41-0000,Sales and Related Occupations,major,"27,760"
806,AL,11500,"Anniston-Oxford-Jacksonville, AL",41-1011,First-Line Supervisors of Retail Sales Workers,detailed,"38,950"
807,AL,11500,"Anniston-Oxford-Jacksonville, AL",41-1012,First-Line Supervisors of Non-Retail Sales Workers,detailed,"67,150"
808,AL,11500,"Anniston-Oxford-Jacksonville, AL",41-2011,Cashiers,detailed,"18,120"
809,AL,11500,"Anniston-Oxford-Jacksonville, AL",41-2021,Counter and Rental Clerks,detailed,"23,420"
810,AL,11500,"Anniston-Oxford-Jacksonville, AL",41-2022,Parts Salespersons,detailed,"28,580"
811,AL,11500,"Anniston-Oxford-Jacksonville, AL",41-2031,Retail Salespersons,detailed,"24,550"
812,AL,11500,"Anniston-Oxford-Jacksonville, AL",41-3021,Insurance Sales Agents,detailed,"60,750"
813,AL,11500,"Anniston-Oxford-Jacksonville, AL",41-3031,"Securities, Commodities, and Financial Services Sales Agents",detailed,"50,950"
814,AL,11500,"Anniston-Oxford-Jacksonville, AL",41-3099,"Sales Representatives, Services, All Other",detailed,"42,940"
815,AL,11500,"Anniston-Oxford-Jacksonville, AL",41-4012,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",detailed,"53,200"
816,AL,11500,"Anniston-Oxford-Jacksonville, AL",43-0000,Office and Administrative Support Occupations,major,"31,040"
817,AL,11500,"Anniston-Oxford-Jacksonville, AL",43-1011,First-Line Supervisors of Office and Administrative Support Workers,detailed,"42,830"
818,AL,11500,"Anniston-Oxford-Jacksonville, AL",43-3021,Billing and Posting Clerks,detailed,"30,860"
819,AL,11500,"Anniston-Oxford-Jacksonville, AL",43-3031,"Bookkeeping, Accounting, and Auditing Clerks",detailed,"32,200"
820,AL,11500,"Anniston-Oxford-Jacksonville, AL",43-3061,Procurement Clerks,detailed,"41,910"
821,AL,11500,"Anniston-Oxford-Jacksonville, AL",43-3071,Tellers,detailed,"25,680"
822,AL,11500,"Anniston-Oxford-Jacksonville, AL",43-4031,"Court, Municipal, and License Clerks",detailed,"36,230"
823,AL,11500,"Anniston-Oxford-Jacksonville, AL",43-4051,Customer Service Representatives,detailed,"30,340"
824,AL,11500,"Anniston-Oxford-Jacksonville, AL",43-4061,"Eligibility Interviewers, Government Programs",detailed,"38,540"
825,AL,11500,"Anniston-Oxford-Jacksonville, AL",43-4081,"Hotel, Motel, and Resort Desk Clerks",detailed,"19,220"
826,AL,11500,"Anniston-Oxford-Jacksonville, AL",43-4111,"Interviewers, Except Eligibility and Loan",detailed,"26,560"
827,AL,11500,"Anniston-Oxford-Jacksonville, AL",43-4121,"Library Assistants, Clerical",detailed,"19,610"
828,AL,11500,"Anniston-Oxford-Jacksonville, AL",43-4131,Loan Interviewers and Clerks,detailed,"25,410"
829,AL,11500,"Anniston-Oxford-Jacksonville, AL",43-4151,Order Clerks,detailed,"33,890"
830,AL,11500,"Anniston-Oxford-Jacksonville, AL",43-4171,Receptionists and Information Clerks,detailed,"25,320"
831,AL,11500,"Anniston-Oxford-Jacksonville, AL",43-5031,"Police, Fire, and Ambulance Dispatchers",detailed,"32,940"
832,AL,11500,"Anniston-Oxford-Jacksonville, AL",43-5032,"Dispatchers, Except Police, Fire, and Ambulance",detailed,"46,320"
833,AL,11500,"Anniston-Oxford-Jacksonville, AL",43-5051,Postal Service Clerks,detailed,"49,790"
834,AL,11500,"Anniston-Oxford-Jacksonville, AL",43-5052,Postal Service Mail Carriers,detailed,"51,170"
835,AL,11500,"Anniston-Oxford-Jacksonville, AL",43-5061,"Production, Planning, and Expediting Clerks",detailed,"45,100"
836,AL,11500,"Anniston-Oxford-Jacksonville, AL",43-5071,"Shipping, Receiving, and Traffic Clerks",detailed,"28,940"
837,AL,11500,"Anniston-Oxford-Jacksonville, AL",43-5081,Stock Clerks and Order Fillers,detailed,"24,000"
838,AL,11500,"Anniston-Oxford-Jacksonville, AL",43-6011,Executive Secretaries and Executive Administrative Assistants,detailed,"51,880"
839,AL,11500,"Anniston-Oxford-Jacksonville, AL",43-6013,Medical Secretaries,detailed,"35,240"
840,AL,11500,"Anniston-Oxford-Jacksonville, AL",43-6014,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",detailed,"31,950"
841,AL,11500,"Anniston-Oxford-Jacksonville, AL",43-9021,Data Entry Keyers,detailed,"27,420"
842,AL,11500,"Anniston-Oxford-Jacksonville, AL",43-9051,"Mail Clerks and Mail Machine Operators, Except Postal Service",detailed,"35,200"
843,AL,11500,"Anniston-Oxford-Jacksonville, AL",43-9061,"Office Clerks, General",detailed,"21,420"
844,AL,11500,"Anniston-Oxford-Jacksonville, AL",43-9199,"Office and Administrative Support Workers, All Other",detailed,"40,540"
845,AL,11500,"Anniston-Oxford-Jacksonville, AL",47-0000,Construction and Extraction Occupations,major,"39,130"
846,AL,11500,"Anniston-Oxford-Jacksonville, AL",47-1011,First-Line Supervisors of Construction Trades and Extraction Workers,detailed,"55,830"
847,AL,11500,"Anniston-Oxford-Jacksonville, AL",47-2031,Carpenters,detailed,"31,300"
848,AL,11500,"Anniston-Oxford-Jacksonville, AL",47-2073,Operating Engineers and Other Construction Equipment Operators,detailed,"32,820"
849,AL,11500,"Anniston-Oxford-Jacksonville, AL",47-2111,Electricians,detailed,"47,360"
850,AL,11500,"Anniston-Oxford-Jacksonville, AL",47-2141,"Painters, Construction and Maintenance",detailed,"43,090"
851,AL,11500,"Anniston-Oxford-Jacksonville, AL",47-2151,Pipelayers,detailed,"40,720"
852,AL,11500,"Anniston-Oxford-Jacksonville, AL",47-2152,"Plumbers, Pipefitters, and Steamfitters",detailed,"41,090"
853,AL,11500,"Anniston-Oxford-Jacksonville, AL",47-4051,Highway Maintenance Workers,detailed,"30,320"
